Jahr,Datum,Name,Wettkampf,Schritte Start,1. Hürde,Zeit Abschnitt 1,Schritte Abschnitt 1,2. Hürde,Zeit Abschnitt 2,Schritte Abschnitt 2,3. Hürde,Zeit Abschnitt 3,Schritte Abschnitt 3,4. Hürde,Zeit Abschnitt 4,Schritte Abschnitt 4,5. Hürde,200m,Zeit Abschnitt 5,Schritte Abschnitt 5,6. Hürde,Zeit Abschnitt 6,Schritte Abschnitt 6,7. Hürde,Zeit Abschnitt 7,Schritte Abschnitt 7,8. Hürde,Zeit Abschnitt 8,Schritte Abschnitt 8,9. Hürde,Zeit Abschnitt 9,Schritte Abschnitt 9,10. Hürde,Zeit Zielabschnitt,Zeit,0-200,200-400,Differenz,Rang,Bahn
2023,20.08.2023,Annina,Regensdorf,23,6.6,4.33,16,10.93,4.41,16,15.34,4.5,16,19.84,4.65,16,24.49,26.36,4.67,16,29.16,4.86,16,34.02,5.12,17,39.14,5.25,17,44.39,5.29,17,49.68,5.95,55.63,26.36,29.27,2.91,1,4
2024,19.05.2024,Annina,Rehlingen,23,,0,15,,0,15,,0,16,,0,16,,0,0,16,,0,16,,0,17,,0,17,,0,19,,0,58.22,0,0,0,7,4
2024,20.05.2024,Annina,Basel,23,6.72,4.27,15,10.99,4.39,15,15.38,4.58,16,19.96,4.71,16,24.67,26.59,4.81,16,29.48,4.96,16,34.44,5.23,17,39.67,5.37,17,45.04,5.84,19,50.88,6.78,57.66,26.59,31.07,4.47,4,6
2024,01.06.2024,Annina,Frauenfeld,23,6.71,4.23,15,10.94,4.34,15,15.28,4.52,16,19.8,4.67,16,24.47,26.37,4.75,16,29.22,4.94,16,34.16,5.23,17,39.39,5.39,17,44.78,5.56,17,50.34,6.31,56.65,26.37,30.28,3.91,1,6
2024,09.06.2024,Annina,EM Rom Vorlauf,23,6.67,4.29,15,10.96,4.34,15,15.3,4.55,16,19.85,4.71,16,24.56,26.48,4.8,16,29.36,4.91,16,34.27,5.3,17,39.57,5.29,17,44.86,5.35,17,50.21,6.38,56.59,26.48,30.11,3.63,6,5
2024,16.06.2024,Annina,Sollentuna,23,6.64,4.17,15,10.81,4.32,15,15.13,4.55,16,19.68,4.58,16,24.26,26.16,4.76,16,29.02,4.96,16,33.98,5.17,17,39.15,5.31,17,44.46,5.48,17,49.94,6.55,56.49,26.16,30.33,4.16,3,4
2024,18.06.2024,Annina,Oslo,23,6.61,4.26,15,10.87,4.29,15,15.16,4.46,16,19.62,4.68,16,24.3,26.19,4.73,16,29.03,4.88,16,33.91,5.12,17,39.03,5.29,17,44.32,5.72,18,50.04,6.56,56.6,26.19,30.41,4.22,1,4
2024,22.06.2024,Annina,Genf,23,6.66,4.28,16,10.94,4.47,16,15.41,4.48,16,19.89,4.52,16,24.41,26.28,4.67,16,29.08,5,17,34.08,5.19,17,39.27,5.37,18,44.64,5.46,18,50.1,6.41,56.51,26.28,30.23,3.95,5,3
